start_time,volume lane1,volume lane2,volume ramp1,speed lane1,speed lane2
2022-07-04 03:00:00-07:00,215,90,51,55.77,46.59
2022-07-04 04:00:00-07:00,255,109,51,54.23,49.56
2022-07-04 05:00:00-07:00,354,143,66,58.31,51.63
2022-07-04 06:00:00-07:00,512,263,121,57.67,53.03
2022-07-04 07:00:00-07:00,629,367,216,57.71,52.27
2022-07-04 08:00:00-07:00,768,388,220,57.03,53.28
2022-07-04 09:00:00-07:00,1089,580,273,55.12,51.64
2022-07-04 10:00:00-07:00,1325,732,438,53.53,49.89
2022-07-04 11:00:00-07:00,1434,875,468,51.98,50
2022-07-04 12:00:00-07:00,1504,866,448,52.11,50.02
2022-07-04 13:00:00-07:00,1423,978,499,51.05,48.48
2022-07-04 14:00:00-07:00,1501,1034,532,50.15,48.01
2022-07-04 15:00:00-07:00,1514,1006,513,50.34,48.9
2022-07-04 16:00:00-07:00,1473,844,428,52.14,49.83
2022-07-04 17:00:00-07:00,1406,782,392,52.23,49.41
2022-07-04 18:00:00-07:00,1314,680,336,55.03,50.63
2022-07-04 19:00:00-07:00,1323,710,407,53.98,49.96
2022-07-04 20:00:00-07:00,1283,546,290,54.36,51.73
2022-07-04 21:00:00-07:00,1229,571,331,53.14,49.93
2022-07-04 22:00:00-07:00,991,425,332,43.66,42.79
2022-07-04 23:00:00-07:00,913,466,290,56.82,50.49
2022-07-05 00:00:00-07:00,537,217,142,58.79,49.88
